All Transactions Activity Types

Account Activity for Stocks -0067 from Current Year

Total:,-921.88

Activity/Trade Date,Transaction Date,Settlement Date,Activity Type,Description,Symbol,Cusip,Quantity #,Price $,Amount $,Commission,Category,Note
03/30/26,03/30/26,,Online Transfer,TRANSFER FROM XXXXXX1327 REFID:16759318395,--,--,,,1000.0,0.0,--,--
03/30/26,03/30/26,,Dividend,VANGUARD 500 INDX ADMIRAL,--,--,,,64.39,0.0,--,--
03/27/26,03/27/26,03/27/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,-0.01,0.0,--,--
03/27/26,03/27/26,03/27/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,0.01,0.0,--,--
03/27/26,03/27/26,03/27/26,Dividend,KRAFT HEINZ CO COM DIVIDEND REINVESTMENT,KHC,--,0.067,21.837,-1.46,0.0,--,--
03/27/26,03/27/26,03/27/26,Qualified Dividend,KRAFT HEINZ CO COM REC 03/27/26 PAY 03/27/26 RATE 0.00000000 QTY 0.00000000,KHC,--,,,1.47,0.0,--,--
03/26/26,03/26/26,03/26/26,Dividend,JPMORGAN DIVE RET US MD EQI,JPME,--,,,7.46,0.0,--,--
03/26/26,03/26/26,03/26/26,Dividend,VANGUARD REAL ESTATE ETF,VNQ,--,,,59.58,0.0,--,--
03/26/26,03/26/26,03/26/26,Dividend,VANGUARD FINANCIALS ETF,VFH,--,,,16.99,0.0,--,--
03/25/26,03/25/26,03/25/26,Transfer,TRNSFR CASH TO MARGIN,--,--,,,999.01,0.0,--,--
03/25/26,03/25/26,03/25/26,Transfer,TRNSFR CASH TO MARGIN,--,--,,,-999.01,0.0,--,--
03/25/26,03/25/26,03/25/26,Dividend,STATE STREET SPDR PORTFOLIO,SPMD,--,,,9.85,0.0,--,--
03/24/26,03/24/26,03/24/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,-1214.9,0.0,--,--
03/24/26,03/24/26,03/24/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,1214.9,0.0,--,--
03/24/26,03/24/26,03/24/26,Dividend,VANGUARD HIGH DIV YIELD ETF,VYM,--,,,17.28,0.0,--,--
03/24/26,03/24/26,03/25/26,Bought,VANGUARD INTERMEDIATE TERM COR UNSOLICITED TRADE,VCIT,--,1.213,82.42,-99.98,0.0,--,--
03/24/26,03/24/26,03/25/26,Bought,VANGUARD REAL ESTATE ETF UNSOLICITED TRADE,VNQ,--,1.127,88.67,-99.93,0.0,--,--
03/24/26,03/24/26,03/25/26,Bought,SPDR GOLD TR GOLD SHS UNSOLICITED TRADE,GLD,--,0.246,405.934,-99.86,0.0,--,--
03/24/26,03/24/26,03/25/26,Bought,ISHARES SILVER SHARES UNSOLICITED TRADE,SLV,--,1.58,63.29,-100.0,0.0,--,--
03/24/26,03/24/26,03/25/26,Bought,VANGUARD SMALL CAP ETF UNSOLICITED TRADE,VB,--,0.378,264.107,-99.83,0.0,--,--
03/24/26,03/24/26,03/25/26,Bought,VANGUARD S&P 500 ETF UNSOLICITED TRADE,VOO,--,0.165,604.09,-99.67,0.0,--,--
